,,,,YY/MO/DA,,kg/unit,,mm,kg/m3,,kgCO2e,/kg,Region,Global,,,,,kgCO2e,,,,,/kg,,kgCO2e,,,,,kgCO2e,,,,,,,,,%,years,,,,,,,,,,,,%,%,,%,%,%,,,,,,,%,%,%,%,,%,,,Region,Global,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPET TILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellBAC Comfort Print (Double Plus),Milliken,Play Angle,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Comfort Print (Distortion),Milliken,Major Frequency One ,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Comfort Print (Draftworks),Milliken,Wicker Contract 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Drawing in Ink),Milliken,Naturally Drawn,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Drift),Milliken,Air Born,https://origin.build/#/material/100361776,2/19/24,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,57.70%,57.70%,100%,,80%,80%,68.85%,68.85%,0%,0%,28.85%,,,,,,,,100%,,100%,,100%,76.00%,81.60%,68.60%,,2nd,,,,,
WellBAC Comfort Print (EC1),Milliken,City Proper 2.0 ,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Explorer),Milliken,Topography 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Forty-Five Degrees),Milliken,Compass,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Field),Milliken,Living Facades,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Impressions),Milliken,Brushed By Tradition,https://origin.build/#/material/100351409,1/8/24,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,60%,60%,100%,,80%,80%,70%,70%,0%,0%,30%,,,,,,,,100%,,100%,,100%,76.00%,82.00%,69.40%,,1st,,,,,
